Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Max Christie,REB,3.5,3.31,4.4,(3.31 × 0.5) + (4.4 × 0.5) = 3.85,3.85,2.12,-0.35,-0.17,NO PLAY,N/A,fanduel,-132,100
Jalen Brunson,AST,6.5,7.31,6.6,(7.31 × 0.5) + (6.6 × 0.5) = 6.95,6.95,2.81,-0.45,-0.16,NO PLAY,N/A,fanduel,-113,-113
Mikal Bridges,AST,4.5,3.73,4.6,(3.73 × 0.5) + (4.6 × 0.5) = 4.17,4.17,2.11,0.33,0.16,NO PLAY,N/A,fanduel,120,-154
Jonathan Isaac,FG3M,0.5,0.55,0.2,(0.55 × 0.5) + (0.2 × 0.5) = 0.37,0.37,0.79,0.13,0.16,NO PLAY,N/A,fanatics,115,-150
Ausar Thompson,PTS,10.5,10.07,12.4,(10.07 × 0.5) + (12.4 × 0.5) = 11.23,11.23,4.63,-0.73,-0.16,NO PLAY,N/A,fanduel,-104,-128
Ausar Thompson,REB,5.5,5.14,6.6,(5.14 × 0.5) + (6.6 × 0.5) = 5.87,5.87,2.36,-0.37,-0.16,NO PLAY,N/A,fanduel,126,-168
Klay Thompson,PTS,10.5,13.96,9.2,(13.96 × 0.5) + (9.2 × 0.5) = 11.58,11.58,6.78,-1.08,-0.16,NO PLAY,N/A,fanatics,-115,-115
Bilal Coulibaly,PTS,10.5,12.32,10.6,(12.32 × 0.5) + (10.6 × 0.5) = 11.46,11.46,6.58,-0.96,-0.15,NO PLAY,N/A,fanduel,-130,-102
Cole Anthony,PTS,9.5,9.4,7.2,(9.4 × 0.5) + (7.2 × 0.5) = 8.3,8.3,7.76,1.2,0.15,NO PLAY,N/A,fanduel,-108,-122
Tobias Harris,REB,5.5,5.92,4.2,(5.92 × 0.5) + (4.2 × 0.5) = 5.06,5.06,2.85,0.44,0.15,NO PLAY,N/A,fanduel,118,-158
Collin Sexton,REB,2.5,2.71,1.8,(2.71 × 0.5) + (1.8 × 0.5) = 2.26,2.26,1.68,0.24,0.14,NO PLAY,N/A,williamhill_us,-136,101
Nickeil Alexander-Walker,AST,3.5,2.72,3.8,(2.72 × 0.5) + (3.8 × 0.5) = 3.26,3.26,1.72,0.24,0.14,NO PLAY,N/A,fanduel,-144,108
Josh Giddey,REB,9.5,8.09,12.0,(8.09 × 0.5) + (12.0 × 0.5) = 10.04,10.04,3.82,-0.54,-0.14,NO PLAY,N/A,fanatics,-140,105
Ausar Thompson,AST,2.5,2.27,3.2,(2.27 × 0.5) + (3.2 × 0.5) = 2.74,2.74,1.71,-0.24,-0.14,NO PLAY,N/A,betonlineag,146,-192
Jock Landale,AST,1.5,0.88,1.8,(0.88 × 0.5) + (1.8 × 0.5) = 1.34,1.34,1.17,0.16,0.14,NO PLAY,N/A,fanatics,100,-130
Jamal Murray,FG3M,2.5,2.33,2.2,(2.33 × 0.5) + (2.2 × 0.5) = 2.26,2.26,1.74,0.24,0.14,NO PLAY,N/A,fanduel,-128,-104
Desmond Bane,AST,4.5,5.35,4.4,(5.35 × 0.5) + (4.4 × 0.5) = 4.87,4.87,2.81,-0.37,-0.13,NO PLAY,N/A,fanduel,-142,112
Luke Kennard,PTS,7.5,8.86,4.4,(8.86 × 0.5) + (4.4 × 0.5) = 6.63,6.63,6.66,0.87,0.13,NO PLAY,N/A,fanatics,-115,-115
Luke Kennard,FG3M,1.5,1.74,0.8,(1.74 × 0.5) + (0.8 × 0.5) = 1.27,1.27,1.75,0.23,0.13,NO PLAY,N/A,fanatics,105,-140
Max Christie,PTS,11.5,9.6,12.0,(9.6 × 0.5) + (12.0 × 0.5) = 10.8,10.8,5.6,0.7,0.12,NO PLAY,N/A,fanduel,-130,-102
Ivica Zubac,PTS,18.5,16.75,21.6,(16.75 × 0.5) + (21.6 × 0.5) = 19.18,19.18,6.1,-0.68,-0.11,NO PLAY,N/A,fanduel,-106,-125
Karl-Anthony Towns,AST,2.5,3.08,2.4,(3.08 × 0.5) + (2.4 × 0.5) = 2.74,2.74,2.12,-0.24,-0.11,NO PLAY,N/A,fanduel,-150,118
Jalen Suggs,PTS,14.5,16.2,14.6,(16.2 × 0.5) + (14.6 × 0.5) = 15.4,15.4,8.09,-0.9,-0.11,NO PLAY,N/A,fanduel,-111,-115
Klay Thompson,FG3M,2.5,3.0,2.4,(3.0 × 0.5) + (2.4 × 0.5) = 2.7,2.7,1.85,-0.2,-0.11,NO PLAY,N/A,fanatics,-125,-105
Kevin Huerter,PTS,12.5,9.87,13.8,(9.87 × 0.5) + (13.8 × 0.5) = 11.83,11.83,6.66,0.67,0.1,NO PLAY,N/A,fanatics,-125,-105
Duncan Robinson,PTS,11.5,11.04,13.2,(11.04 × 0.5) + (13.2 × 0.5) = 12.12,12.12,6.31,-0.62,-0.1,NO PLAY,N/A,fanduel,-106,-125
D'Angelo Russell,REB,2.5,2.79,2.6,(2.79 × 0.5) + (2.6 × 0.5) = 2.7,2.7,1.94,-0.2,-0.1,NO PLAY,N/A,betmgm,-165,125
Malik Monk,FG3M,1.5,2.14,1.2,(2.14 × 0.5) + (1.2 × 0.5) = 1.67,1.67,1.69,-0.17,-0.1,NO PLAY,N/A,fanduel,-130,-102
Cam Whitmore,FG3M,1.5,1.27,2.0,(1.27 × 0.5) + (2.0 × 0.5) = 1.64,1.64,1.47,-0.14,-0.09,NO PLAY,N/A,fanduel,178,-245
Gary Trent Jr.,PTS,12.5,11.14,12.8,(11.14 × 0.5) + (12.8 × 0.5) = 11.97,11.97,6.12,0.53,0.09,NO PLAY,N/A,fanduel,-112,-118
Kyle Kuzma,REB,4.5,5.69,2.8,(5.69 × 0.5) + (2.8 × 0.5) = 4.25,4.25,2.9,0.25,0.09,NO PLAY,N/A,fanduel,-158,118
Cade Cunningham,REB,5.5,6.07,5.4,(6.07 × 0.5) + (5.4 × 0.5) = 5.74,5.74,2.59,-0.24,-0.09,NO PLAY,N/A,fanduel,-118,-112
P.J. Washington,REB,7.5,7.75,6.6,(7.75 × 0.5) + (6.6 × 0.5) = 7.18,7.18,3.71,0.32,0.09,NO PLAY,N/A,fanduel,-122,-108
D'Angelo Russell,AST,4.5,5.12,4.4,(5.12 × 0.5) + (4.4 × 0.5) = 4.76,4.76,2.79,-0.26,-0.09,NO PLAY,N/A,fanatics,-140,105
Tim Hardaway Jr.,AST,1.5,1.6,1.6,(1.6 × 0.5) + (1.6 × 0.5) = 1.6,1.6,1.15,-0.1,-0.09,NO PLAY,N/A,fanatics,-105,-125
Landry Shamet,PTS,8.5,5.72,12.2,(5.72 × 0.5) + (12.2 × 0.5) = 8.96,8.96,5.63,-0.46,-0.08,NO PLAY,N/A,fanduel,-122,-104
